,RF SWR and Power Meter BOM,,,,
,,,,,
,PCB Parts:,,,,
,Reference,Qty,Value,Footprint,Recomended Part:
,"C1,C2",2,10nF,805,https://www.digikey.com/en/products/detail/kyocera-avx/KGM21NR71H103KT/563493
,"C3,C4",2,4.7uF,805,https://www.digikey.com/en/products/detail/tdk/C2012X7R1E475K125AB/2443450
,C5,1,0.1uF,805,https://www.digikey.com/en/products/detail/kyocera-avx/KGM21NR71H104KT/563505
,"D1,D2",2,1N5711,SOD-123,https://www.digikey.com/en/products/detail/good-ark-semiconductor/GS1N5711W/18667513
,D3,1,LED Red,1206,https://www.digikey.com/en/products/detail/liteon/LTST-C150KRKT/386761
,IC1,1,ATTINY3224,SOIC-14,https://www.digikey.com/en/products/detail/microchip-technology/ATTINY3224-SSFR/17631056
,IC2,1,MCP73831T,SOT-23-5,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301
,"J1,J2",2,BNC Connector,Molex 0731385003,https://www.digikey.com/en/products/detail/molex/0731385003/3303300
,J3,1,USBC Receptacle,GCT_USB4800-03-A,https://www.digikey.com/en/products/detail/gct/USB4800-03-A/16688032
,J4,1,OLED Connector,JST B4B-XH-A,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-XH-A/1651047
,J5,1,UPDI Connector,3 Pin 2.54mm Header,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC031LFBN-RC/810175
,J6,1,Battery Connector,Molex 0530480210,https://www.digikey.com/en/products/detail/molex/0530480210/242864
,Q1,1,SI2301,SOT-23-3,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/SI2301-TP/1793242
,"R1,R2,R5,R6",4,Thin Film 100R 1%,1206,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP1206FTD100R/2240316
,"R3,R4,R7,R8",4,10k 1%,805,https://www.digikey.com/en/products/detail/vishay-dale/CRCW080510K0FKEA/1175751
,"R9,R10",2,5.1k 1%,805,https://www.digikey.com/en/products/detail/yageo/RC0805FR-075K1L/727988
,R11,1,1.5k,805,https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051K50FKEA/1175655
,R12,1,2k 1%,805,https://www.digikey.com/en/products/detail/yageo/RC0805FR-072KL/727664
,R15,1,100k,805,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FG100K/1712614
,SW1,1,Button,TS11-674-43-BK-160-RA-D,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/TS11-674-43-BK-160-RA-D/16562767
,SW2,1,SW_SPDT,SLW-129956-4A-RA-N-D,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SLW-129956-4A-RA-N-D/24399223
,T1,1,BN-43-202,BN-43-202,https://toroids.info/BN-43-202.php
,Digikey link: https://www.digikey.com/short/31wwbcbf,,,,
,"(Certain SMD parts have more than you need, usually because buying 10 is cheaper than buying the required amount)",,,,
,,,,,
,Other Parts:,,,,
,0.96in OLED,1,https://www.amazon.com/Display-SSD1306-Self-Luminous-Compatible-Raspberry/dp/B0GBWXTR1Z/ref=sr_1_13?,,
,Battery,1,https://www.amazon.com/dp/B0DPZVBKMY?,,
,M2.5x5mm Button Head,5,https://www.amazon.com/XunLiu-Button-Socket-Screws-BlackNickel/dp/B0756WTM1D/ref=sr_1_6?,,
,M2.5x3mm,4,https://www.amazon.com/M2-5-0-45-Button-Socket-Screws-Quantity/dp/B0CG1LJ6LT/ref=sr_1_3?crid=UEMVWUB586Y0&dib=eyJ2IjoiMSJ9.4hnUppVhq3gkuYHudb8t97_9NtK2Vt1MZ08Ii3BWz-IX6IsMI3ub9kXsesH4oFJLRgBFTZgWHIEGtZ5_TlCst-QROR_mA-BVsRGEhU6sGaFoQ_Npodo0tsWDf5tN7BzfIGXRYuQ9Nq0f7pRc90kECXWf_Z7QuXW4hPBQmzg-bURY2dUYDqyKFIdR9N4NY3loLA7A3AkUemoAfc7JSrY9dhsXatG3jKoB9nGh39Xq648.jaeOjoNrotQOWE5NH4AtjuM8FYNViLyW8Vux_wzvgZI&dib_tag=se&keywords=m2.5x3&qid=1784740470&sprefix=m2.5x%2Caps%2C227&sr=8-3&th=1,,
,M2x5mm Socket Head,8,https://www.amazon.com/Socket-Screws-Stainless-Thread-Spanner/dp/B0GHYKFVLC/ref=sr_1_3?,,
,M2 Threaded Inserts,8,https://www.amazon.com/MECCANIXITY-Threaded-Printing-Electronic-M2x3-5x4mm/dp/B0F2FRSJQN/ref=sr_1_4?,,